detector_id,detector_name,severity,bioguide_id,member_name,party,state,district,quarter,description,amount,vendor_name,extra_json
A,Office negative AP rate,HIGH,C001130,Jasmine Crockett,D,TX,,2025Q3,"Negative AP rate 12.9% (z=7.1, peer median 1.5%)",-13268.57,,"{""neg_count"": 36, ""total_ap_count"": 280, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,M001225,Kevin Mullin,D,CA,,2025Q2,"Negative AP rate 7.1% (z=4.3, peer median 1.0%)",-12700.17,,"{""neg_count"": 10, ""total_ap_count"": 140, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,HIGH,R000395,Harold Rogers,R,KY,,2025Q1,"Negative AP rate 7.7% (z=5.0, peer median 0.9%)",-12655.460000000001,,"{""neg_count"": 16, ""total_ap_count"": 208, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,J000298,Pramila Jayapal,D,WA,,2025Q1,"Negative AP rate 12.8% (z=8.8, peer median 0.9%)",-12350.76,,"{""neg_count"": 32, ""total_ap_count"": 250, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,W000808,Frederica S. Wilson,D,FL,,2025Q4,"Negative AP rate 7.8% (z=4.0, peer median 1.1%)",-11638.759999999998,,"{""neg_count"": 12, ""total_ap_count"": 153, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,R000395,Harold Rogers,R,KY,,2025Q3,"Negative AP rate 9.3% (z=4.9, peer median 1.5%)",-11594.779999999999,,"{""neg_count"": 20, ""total_ap_count"": 214, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,D000623,Mark DeSaulnier,D,CA,,2024Q4,"Negative AP rate 7.8% (z=4.8, peer median 1.6%)",-11365.07,,"{""neg_count"": 12, ""total_ap_count"": 153, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,HIGH,C001078,Gerald E. Connolly,D,VA,,2025Q4,"Negative AP rate 30.0% (z=17.2, peer median 1.1%)",-11217.75,,"{""neg_count"": 6, ""total_ap_count"": 20, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,R000395,Harold Rogers,R,KY,,2025Q4,"Negative AP rate 7.1% (z=3.6, peer median 1.1%)",-11206.62,,"{""neg_count"": 11, ""total_ap_count"": 154, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,HIGH,L000590,Susie Lee,D,NV,,2025Q3,"Negative AP rate 12.5% (z=6.9, peer median 1.5%)",-10644.109999999999,,"{""neg_count"": 21, ""total_ap_count"": 168, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,G000553,Al Green,D,TX,,2025Q4,"Negative AP rate 8.1% (z=4.2, peer median 1.1%)",-10392.36,,"{""neg_count"": 18, ""total_ap_count"": 221, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,HIGH,E000294,Tom Emmer,R,MN,,2025Q1,"Negative AP rate 19.9% (z=14.1, peer median 0.9%)",-10099.08,,"{""neg_count"": 27, ""total_ap_count"": 136, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,S001211,Greg Stanton,D,AZ,,2025Q1,"Negative AP rate 8.2% (z=5.4, peer median 0.9%)",-9768.81,,"{""neg_count"": 14, ""total_ap_count"": 170, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,T000463,Michael R. Turner,R,OH,,2025Q2,"Negative AP rate 8.0% (z=4.9, peer median 1.0%)",-9622.849999999999,,"{""neg_count"": 27, ""total_ap_count"": 336, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,HIGH,K000391,Raja Krishnamoorthi,D,IL,,2025Q3,"Negative AP rate 12.9% (z=7.2, peer median 1.5%)",-9556.900000000001,,"{""neg_count"": 33, ""total_ap_count"": 256, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,HIGH,J000304,Ronny Jackson,R,TX,,2025Q4,"Negative AP rate 11.0% (z=5.9, peer median 1.1%)",-9147.31,,"{""neg_count"": 13, ""total_ap_count"": 118, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,O000172,Alexandria Ocasio-Cortez,D,NY,,2024Q4,"Negative AP rate 6.7% (z=3.9, peer median 1.6%)",-8987.090000000002,,"{""neg_count"": 10, ""total_ap_count"": 150, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,L000562,Stephen F. Lynch,D,MA,,2024Q4,"Negative AP rate 6.1% (z=3.5, peer median 1.6%)",-8487.99,,"{""neg_count"": 7, ""total_ap_count"": 114, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,HIGH,R000395,Harold Rogers,R,KY,,2024Q4,"Negative AP rate 8.9% (z=5.6, peer median 1.6%)",-8235.240000000002,,"{""neg_count"": 16, ""total_ap_count"": 179, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,C001130,Jasmine Crockett,D,TX,,2025Q2,"Negative AP rate 8.1% (z=5.0, peer median 1.0%)",-8232.649999999998,,"{""neg_count"": 21, ""total_ap_count"": 259, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,HIGH,V000130,Juan Vargas,D,CA,,2025Q4,"Negative AP rate 11.7% (z=6.3, peer median 1.1%)",-7765.97,,"{""neg_count"": 14, ""total_ap_count"": 120, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,K000388,Trent Kelly,R,MS,,2024Q4,"Negative AP rate 7.0% (z=4.1, peer median 1.6%)",-7531.53,,"{""neg_count"": 14, ""total_ap_count"": 200, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,L000273,Teresa Leger Fernandez,D,NM,,2025Q4,"Negative AP rate 9.2% (z=4.8, peer median 1.1%)",-7160.23,,"{""neg_count"": 14, ""total_ap_count"": 152, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,HIGH,C001130,Jasmine Crockett,D,TX,,2025Q4,"Negative AP rate 13.6% (z=7.4, peer median 1.1%)",-7147.199999999998,,"{""neg_count"": 23, ""total_ap_count"": 169, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,J000298,Pramila Jayapal,D,WA,,2025Q3,"Negative AP rate 8.6% (z=4.4, peer median 1.5%)",-7046.969999999998,,"{""neg_count"": 20, ""total_ap_count"": 233, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,HIGH,L000600,Nicholas A. Langworthy,R,NY,,2025Q3,"Negative AP rate 12.0% (z=6.6, peer median 1.5%)",-7004.03,,"{""neg_count"": 17, ""total_ap_count"": 142, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,HIGH,D000096,Danny K. Davis,D,IL,,2025Q1,"Negative AP rate 10.4% (z=7.0, peer median 0.9%)",-6620.7,,"{""neg_count"": 16, ""total_ap_count"": 154, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,C001127,Sheila Cherfilus-McCormick,D,FL,,2025Q3,"Negative AP rate 7.6% (z=3.8, peer median 1.5%)",-6580.01,,"{""neg_count"": 17, ""total_ap_count"": 224, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,N000193,Zachary Nunn,R,IA,,2024Q4,"Negative AP rate 5.9% (z=3.3, peer median 1.6%)",-6266.95,,"{""neg_count"": 11, ""total_ap_count"": 186, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,J000307,John James,R,MI,,2024Q4,"Negative AP rate 6.0% (z=3.4, peer median 1.6%)",-6122.28,,"{""neg_count"": 10, ""total_ap_count"": 166, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,L000590,Susie Lee,D,NV,,2025Q2,"Negative AP rate 6.6% (z=3.9, peer median 1.0%)",-6058.73,,"{""neg_count"": 9, ""total_ap_count"": 137, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,K000388,Trent Kelly,R,MS,,2025Q1,"Negative AP rate 7.6% (z=5.0, peer median 0.9%)",-5965.879999999999,,"{""neg_count"": 12, ""total_ap_count"": 158, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,J000304,Ronny Jackson,R,TX,,2025Q3,"Negative AP rate 8.4% (z=4.3, peer median 1.5%)",-5909.59,,"{""neg_count"": 16, ""total_ap_count"": 191, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,A000370,Alma S. Adams,D,NC,,2025Q1,"Negative AP rate 5.2% (z=3.2, peer median 0.9%)",-5845.02,,"{""neg_count"": 7, ""total_ap_count"": 134, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,T000474,Norma J. Torres,D,CA,,2025Q1,"Negative AP rate 6.9% (z=4.5, peer median 0.9%)",-5779.0,,"{""neg_count"": 17, ""total_ap_count"": 245, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,T000463,Michael R. Turner,R,OH,,2025Q4,"Negative AP rate 12.1% (z=6.5, peer median 1.1%)",-5447.42,,"{""neg_count"": 17, ""total_ap_count"": 141, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,M001214,Frank J. Mrvan,D,IN,,2025Q3,"Negative AP rate 6.3% (z=3.0, peer median 1.5%)",-5438.09,,"{""neg_count"": 8, ""total_ap_count"": 127, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,M001205,Carol D. Miller,R,WV,,2025Q4,"Negative AP rate 7.1% (z=3.6, peer median 1.1%)",-5180.97,,"{""neg_count"": 11, ""total_ap_count"": 154, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,HIGH,M001217,Jared Moskowitz,D,FL,,2025Q4,"Negative AP rate 9.9% (z=5.2, peer median 1.1%)",-5117.450000000001,,"{""neg_count"": 20, ""total_ap_count"": 203, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,C001127,Sheila Cherfilus-McCormick,D,FL,,2025Q2,"Negative AP rate 6.2% (z=3.6, peer median 1.0%)",-5016.06,,"{""neg_count"": 16, ""total_ap_count"": 258, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,H001094,Val T. Hoyle,D,OR,,2024Q4,"Negative AP rate 7.7% (z=4.7, peer median 1.6%)",-4799.780000000001,,"{""neg_count"": 6, ""total_ap_count"": 78, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,R000614,Chip Roy,R,TX,,2025Q2,"Negative AP rate 7.1% (z=4.3, peer median 1.0%)",-4529.96,,"{""neg_count"": 9, ""total_ap_count"": 126, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,I000056,Darrell Issa,R,CA,,2025Q1,"Negative AP rate 7.5% (z=4.9, peer median 0.9%)",-4511.55,,"{""neg_count"": 11, ""total_ap_count"": 147, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,H001066,Steven Horsford,D,NV,,2025Q4,"Negative AP rate 9.3% (z=4.9, peer median 1.1%)",-4390.52,,"{""neg_count"": 10, ""total_ap_count"": 108, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,A000371,Pete Aguilar,D,CA,,2025Q1,"Negative AP rate 5.4% (z=3.4, peer median 0.9%)",-4355.84,,"{""neg_count"": 10, ""total_ap_count"": 184, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,M001143,Betty McCollum,D,MN,,2025Q1,"Negative AP rate 7.4% (z=4.8, peer median 0.9%)",-4342.2,,"{""neg_count"": 10, ""total_ap_count"": 136, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,A000376,Colin Z. Allred,D,TX,,2024Q4,"Negative AP rate 6.5% (z=3.7, peer median 1.6%)",-4334.0599999999995,,"{""neg_count"": 2, ""total_ap_count"": 31, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,W000788,Nikema Williams,D,GA,,2025Q2,"Negative AP rate 5.9% (z=3.4, peer median 1.0%)",-4317.2300000000005,,"{""neg_count"": 12, ""total_ap_count"": 205, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,K000388,Trent Kelly,R,MS,,2025Q2,"Negative AP rate 5.8% (z=3.4, peer median 1.0%)",-4289.27,,"{""neg_count"": 14, ""total_ap_count"": 240, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,S001157,David Scott,D,GA,,2024Q4,"Negative AP rate 6.8% (z=3.9, peer median 1.6%)",-4288.6900000000005,,"{""neg_count"": 5, ""total_ap_count"": 74, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,G000602,Laura Gillen,D,NY,,2025Q3,"Negative AP rate 7.4% (z=3.7, peer median 1.5%)",-4248.23,,"{""neg_count"": 14, ""total_ap_count"": 188, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,D000623,Mark DeSaulnier,D,CA,,2025Q1,"Negative AP rate 6.7% (z=4.3, peer median 0.9%)",-4009.2799999999997,,"{""neg_count"": 10, ""total_ap_count"": 150, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,K000388,Trent Kelly,R,MS,,2025Q4,"Negative AP rate 11.3% (z=6.1, peer median 1.1%)",-3985.5000000000014,,"{""neg_count"": 15, ""total_ap_count"": 133, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,HIGH,W000829,Tony Wied,R,WI,,2025Q4,"Negative AP rate 12.3% (z=6.6, peer median 1.1%)",-3856.93,,"{""neg_count"": 13, ""total_ap_count"": 106, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,H001093,Erin Houchin,R,IN,,2025Q2,"Negative AP rate 5.3% (z=3.0, peer median 1.0%)",-3827.3,,"{""neg_count"": 7, ""total_ap_count"": 132, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,V000135,Derrick Van Orden,R,WI,,2025Q4,"Negative AP rate 6.6% (z=3.3, peer median 1.1%)",-3824.29,,"{""neg_count"": 8, ""total_ap_count"": 121, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,M001227,Jennifer L. McClellan,D,VA,,2025Q1,"Negative AP rate 6.1% (z=3.8, peer median 0.9%)",-3807.6199999999994,,"{""neg_count"": 6, ""total_ap_count"": 99, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,B001248,Michael C. Burgess,R,TX,,2025Q1,"Negative AP rate 12.2% (z=8.4, peer median 0.9%)",-3724.3900000000003,,"{""neg_count"": 5, ""total_ap_count"": 41, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,N000179,Grace F. Napolitano,D,CA,,2025Q1,"Negative AP rate 11.1% (z=7.6, peer median 0.9%)",-3588.33,,"{""neg_count"": 1, ""total_ap_count"": 9, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,S001211,Greg Stanton,D,AZ,,2025Q2,"Negative AP rate 6.8% (z=4.1, peer median 1.0%)",-3582.74,,"{""neg_count"": 11, ""total_ap_count"": 161, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,G000583,Josh Gottheimer,D,NJ,,2025Q1,"Negative AP rate 7.1% (z=4.6, peer median 0.9%)",-3525.16,,"{""neg_count"": 13, ""total_ap_count"": 184, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,G000583,Josh Gottheimer,D,NJ,,2025Q2,"Negative AP rate 6.3% (z=3.7, peer median 1.0%)",-3489.8,,"{""neg_count"": 13, ""total_ap_count"": 205, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,M001137,Gregory W. Meeks,D,NY,,2025Q3,"Negative AP rate 9.4% (z=5.0, peer median 1.5%)",-3465.67,,"{""neg_count"": 15, ""total_ap_count"": 159, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,M001217,Jared Moskowitz,D,FL,,2025Q2,"Negative AP rate 7.9% (z=4.8, peer median 1.0%)",-3449.3,,"{""neg_count"": 16, ""total_ap_count"": 203, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,D000632,Anthony D’Esposito,R,NY,,2024Q4,"Negative AP rate 7.8% (z=4.7, peer median 1.6%)",-3353.949999999999,,"{""neg_count"": 15, ""total_ap_count"": 192, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,HIGH,J000305,Sara Jacobs,D,CA,,2025Q4,"Negative AP rate 10.5% (z=5.6, peer median 1.1%)",-3314.16,,"{""neg_count"": 6, ""total_ap_count"": 57, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,T000474,Norma J. Torres,D,CA,,2025Q2,"Negative AP rate 6.6% (z=3.9, peer median 1.0%)",-3293.12,,"{""neg_count"": 11, ""total_ap_count"": 167, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,S001211,Greg Stanton,D,AZ,,2025Q4,"Negative AP rate 6.5% (z=3.2, peer median 1.1%)",-3279.3,,"{""neg_count"": 8, ""total_ap_count"": 123, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,M001229,LaMonica McIver,D,NJ,,2025Q3,"Negative AP rate 6.8% (z=3.3, peer median 1.5%)",-3261.4199999999996,,"{""neg_count"": 11, ""total_ap_count"": 161, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,C001125,Troy A. Carter,D,LA,,2025Q3,"Negative AP rate 6.7% (z=3.2, peer median 1.5%)",-3253.0700000000006,,"{""neg_count"": 9, ""total_ap_count"": 135, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,E000298,Ron Estes,R,KS,,2025Q1,"Negative AP rate 5.2% (z=3.1, peer median 0.9%)",-3159.88,,"{""neg_count"": 10, ""total_ap_count"": 194, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,G000599,Daniel S. Goldman,D,NY,,2025Q3,"Negative AP rate 7.4% (z=3.7, peer median 1.5%)",-3133.0699999999997,,"{""neg_count"": 6, ""total_ap_count"": 81, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,M001217,Jared Moskowitz,D,FL,,2025Q1,"Negative AP rate 5.9% (z=3.7, peer median 0.9%)",-3126.5599999999995,,"{""neg_count"": 13, ""total_ap_count"": 222, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,H001066,Steven Horsford,D,NV,,2025Q1,"Negative AP rate 6.7% (z=4.3, peer median 0.9%)",-3111.02,,"{""neg_count"": 13, ""total_ap_count"": 194, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,F000462,Lois Frankel,D,FL,,2025Q1,"Negative AP rate 6.6% (z=4.2, peer median 0.9%)",-3106.6899999999996,,"{""neg_count"": 15, ""total_ap_count"": 226, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,J000298,Pramila Jayapal,D,WA,,2025Q4,"Negative AP rate 6.7% (z=3.3, peer median 1.1%)",-3046.7,,"{""neg_count"": 8, ""total_ap_count"": 120, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,M001205,Carol D. Miller,R,WV,,2025Q1,"Negative AP rate 5.8% (z=3.6, peer median 0.9%)",-2993.29,,"{""neg_count"": 10, ""total_ap_count"": 173, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,C001125,Troy A. Carter,D,LA,,2025Q1,"Negative AP rate 5.5% (z=3.4, peer median 0.9%)",-2969.41,,"{""neg_count"": 17, ""total_ap_count"": 311, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,A000370,Alma S. Adams,D,NC,,2025Q3,"Negative AP rate 6.3% (z=3.0, peer median 1.5%)",-2906.6800000000003,,"{""neg_count"": 7, ""total_ap_count"": 111, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,F000462,Lois Frankel,D,FL,,2025Q3,"Negative AP rate 7.8% (z=4.0, peer median 1.5%)",-2869.8300000000004,,"{""neg_count"": 19, ""total_ap_count"": 243, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,HIGH,F000462,Lois Frankel,D,FL,,2025Q2,"Negative AP rate 11.0% (z=6.9, peer median 1.0%)",-2849.46,,"{""neg_count"": 24, ""total_ap_count"": 219, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,W000830,George Whitesides,D,CA,,2025Q3,"Negative AP rate 7.5% (z=3.8, peer median 1.5%)",-2697.7000000000003,,"{""neg_count"": 9, ""total_ap_count"": 120, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,D000594,Monica De La Cruz,R,TX,,2025Q1,"Negative AP rate 5.1% (z=3.1, peer median 0.9%)",-2563.49,,"{""neg_count"": 11, ""total_ap_count"": 214, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,C001061,Emanuel Cleaver,D,MO,,2025Q2,"Negative AP rate 5.4% (z=3.0, peer median 1.0%)",-2545.3399999999997,,"{""neg_count"": 9, ""total_ap_count"": 168, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,H001066,Steven Horsford,D,NV,,2025Q2,"Negative AP rate 5.7% (z=3.3, peer median 1.0%)",-2445.9600000000005,,"{""neg_count"": 10, ""total_ap_count"": 176, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,HIGH,M001160,Gwen Moore,D,WI,,2025Q1,"Negative AP rate 7.8% (z=5.1, peer median 0.9%)",-2332.1000000000004,,"{""neg_count"": 10, ""total_ap_count"": 128, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,F000446,Randy Feenstra,R,IA,,2025Q3,"Negative AP rate 7.1% (z=3.5, peer median 1.5%)",-2267.379999999999,,"{""neg_count"": 13, ""total_ap_count"": 182, ""peer_median_neg_rate"": ""1.504%""}"
A,Office negative AP rate,MEDIUM,R000103,"Matthew M. Rosendale, Sr.",R,MT,,2025Q1,"Negative AP rate 7.0% (z=4.5, peer median 0.9%)",-2260.42,,"{""neg_count"": 4, ""total_ap_count"": 57, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,O000172,Alexandria Ocasio-Cortez,D,NY,,2025Q1,"Negative AP rate 7.2% (z=4.7, peer median 0.9%)",-2255.14,,"{""neg_count"": 12, ""total_ap_count"": 167, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,J000307,John James,R,MI,,2025Q1,"Negative AP rate 5.7% (z=3.5, peer median 0.9%)",-2138.0399999999995,,"{""neg_count"": 7, ""total_ap_count"": 123, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,N000002,Jerrold Nadler,D,NY,,2025Q1,"Negative AP rate 6.8% (z=4.4, peer median 0.9%)",-2113.68,,"{""neg_count"": 14, ""total_ap_count"": 206, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,M001143,Betty McCollum,D,MN,,2025Q4,"Negative AP rate 6.2% (z=3.1, peer median 1.1%)",-2108.79,,"{""neg_count"": 6, ""total_ap_count"": 96, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,H001102,Mark Harris,R,NC,,2025Q4,"Negative AP rate 6.7% (z=3.3, peer median 1.1%)",-2024.4199999999998,,"{""neg_count"": 6, ""total_ap_count"": 89, ""peer_median_neg_rate"": ""1.130%""}"
A,Office negative AP rate,MEDIUM,F000482,Julie Fedorchak,R,ND,,2025Q2,"Negative AP rate 5.3% (z=3.0, peer median 1.0%)",-1981.91,,"{""neg_count"": 7, ""total_ap_count"": 131, ""peer_median_neg_rate"": ""0.971%""}"
